Plate;Issue Date;InfractionCode;Fine Amount;County Name;Issuing Agency
GXH1273;2022-08-25;36;50.0;Kings;DEPARTMENT OF TRANSPORTATION
T748763C;2020-04-13;36;50.0;Queens;DEPARTMENT OF TRANSPORTATION
HKM6791;2020-01-03;36;35.0;Queens;TRAFFIC
U77LRG;2019-12-31;36;35.0;Queens;TRAFFIC
13215MH;2019-12-31;38;35.0;Queens;TRAFFIC
QWE7890;2023-04-20;8;75.0;Bronx;DEPARTMENT OF TRANSPORTATION
QWE7890;2023-04-20;8;75.0;Bronx;DEPARTMENT OF TRANSPORTATION
QWE7890;2023-04-20;10;75.0;Bronx;DEPARTMENT OF TRANSPORTATION
QWE7890;2023-04-20;10;75.0;Bronx;DEPARTMENT OF TRANSPORTATION
QWE7890;2023-04-20;10;75.0;Bronx;DEPARTMENT OF TRANSPORTATION
QWE7890;2023-04-20;10;75.0;Bronx;DEPARTMENT OF TRANSPORTATION
QWE7890;2023-04-20;10;75.0;Bronx;DEPARTMENT OF TRANSPORTATION
QWE7890;2023-04-20;11;750.0;Bronx;DEPARTMENT OF TRANSPORTATION
QWE7890;2023-04-20;11;750.0;Bronx;DEPARTMENT OF TRANSPORTATION
QWE7890;2023-04-20;11;750.0;Bronx;DEPARTMENT OF TRANSPORTATION
QWE7890;2023-04-20;14;780.0;Bronx;DEPARTMENT OF TRANSPORTATION
